Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	batch	biomaterial_provider	cell_subtype	cell_type	isolate	phenotype	sex	source_name	tissue	wellID	wellKey
RNA-Seq		37	PRJNA145387	SAMN00714084		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX093156	0	Illumina Genome Analyzer II	SINGLE	size fractionation	TRANSCRIPTOMIC	GSM786178: Synovial fibroblast_WT_1	2014-05-31	597	345	Mus musculus	ILLUMINA	2012-05-15	SRR333597	SRS258774	SRP007941	GSM786178					Synovial fibroblast				Synovial fibroblast			
RNA-Seq		37	PRJNA145387	SAMN00714085		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX093157	0	Illumina Genome Analyzer II	SINGLE	size fractionation	TRANSCRIPTOMIC	GSM786179: Synovial fibroblast_WT_2	2014-05-31	998	603	Mus musculus	ILLUMINA	2012-05-15	SRR333598	SRS258775	SRP007941	GSM786179					Synovial fibroblast				Synovial fibroblast			
RNA-Seq		37	PRJNA145387	SAMN00714086		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX093158	0	Illumina Genome Analyzer II	SINGLE	size fractionation	TRANSCRIPTOMIC	GSM786180: Synovial fibroblast_Tg_1	2014-05-31	969	581	Mus musculus	ILLUMINA	2012-05-15	SRR333599	SRS258776	SRP007941	GSM786180					Synovial fibroblast				Synovial fibroblast			
RNA-Seq		37	PRJNA145387	SAMN00714087		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX093159	0	Illumina Genome Analyzer II	SINGLE	size fractionation	TRANSCRIPTOMIC	GSM786181: Synovial fibroblast_Tg_2	2014-05-31	868	576	Mus musculus	ILLUMINA	2012-05-15	SRR333600	SRS258777	SRP007941	GSM786181					Synovial fibroblast				Synovial fibroblast			
RNA-Seq		202		SAMN00752691		CHILDREN'S MERCY HOSIPTAL	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX105523	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	RA1	2012-01-21	8645	5464	Homo sapiens	ILLUMINA	2013-01-09	SRR364313	SRS270280	SRP009315	RA1												
RNA-Seq		202		SAMN00752692		CHILDREN'S MERCY HOSIPTAL	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX105524	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	RA2	2012-01-21	8036	5089	Homo sapiens	ILLUMINA	2013-01-09	SRR364314	SRS270281	SRP009315	RA2												
RNA-Seq		202		SAMN00752693		CHILDREN'S MERCY HOSIPTAL	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX105525	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	WT1	2012-01-21	7781	5183	Homo sapiens	ILLUMINA	2013-01-09	SRR364315	SRS270282	SRP009315	WT1												
RNA-Seq		202		SAMN00752694		CHILDREN'S MERCY HOSIPTAL	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX105526	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	WT2	2012-08-11	7969	5318	Homo sapiens	ILLUMINA	2013-01-09	SRR364316	SRS270283	SRP009315	WT2												
AMPLICON		410	PRJNA203810	SAMN02183053	MIGS/MIMS/MIMARKS.human-gut	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288156	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	12	human gut metagenome	LS454	2013-06-04	SRR870351	SRS430815	SRP023463	004B_FE												
AMPLICON		406	PRJNA203810	SAMN02183054	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288157	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	4	10	human gut metagenome	LS454	2013-06-04	SRR870352	SRS430816	SRP023463	005B_FE												
AMPLICON		408	PRJNA203810	SAMN02183055	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288158	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	1	4	human gut metagenome	LS454	2013-06-04	SRR870353	SRS430817	SRP023463	008B_FE												
AMPLICON		410	PRJNA203810	SAMN02183056	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288159	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	9	human gut metagenome	LS454	2013-06-04	SRR870354	SRS430818	SRP023463	009B_FE												
AMPLICON		408	PRJNA203810	SAMN02183058	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288161	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	4	10	human gut metagenome	LS454	2013-06-04	SRR870356	SRS430820	SRP023463	012B_FE												
AMPLICON		394	PRJNA203810	SAMN02183061	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288164	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	1	4	human gut metagenome	LS454	2013-06-04	SRR870359	SRS430823	SRP023463	016B_FE												
AMPLICON		396	PRJNA203810	SAMN02183062	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288165	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	2	7	human gut metagenome	LS454	2013-06-04	SRR870360	SRS430824	SRP023463	017B_FE												
AMPLICON		395	PRJNA203810	SAMN02183069	MIGS/MIMS/MIMARKS.human-gut	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288172	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	6	16	human gut metagenome	LS454	2013-06-04	SRR870367	SRS430831	SRP023463	027B_FE												
AMPLICON		396	PRJNA203810	SAMN02183070	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288173	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	7	18	human gut metagenome	LS454	2013-06-04	SRR870368	SRS430832	SRP023463	028B_FE												
AMPLICON		413	PRJNA203810	SAMN02183071	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288174	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	2	5	human gut metagenome	LS454	2013-06-04	SRR870369	SRS430833	SRP023463	029B_FE												
AMPLICON		406	PRJNA203810	SAMN02183072	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288175	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	4	11	human gut metagenome	LS454	2013-06-04	SRR870370	SRS430834	SRP023463	030B_FE												
AMPLICON		406	PRJNA203810	SAMN02183074	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288177	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	13	human gut metagenome	LS454	2013-06-04	SRR870372	SRS430836	SRP023463	032B_FE												
AMPLICON		406	PRJNA203810	SAMN02183075	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288178	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	14	human gut metagenome	LS454	2013-06-04	SRR870373	SRS430837	SRP023463	033B_FE												
AMPLICON		408	PRJNA203810	SAMN02183076	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288179	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	7	human gut metagenome	LS454	2013-06-04	SRR870374	SRS430838	SRP023463	034B_FE												
AMPLICON		405	PRJNA203810	SAMN02183077	MIGS/MIMS/MIMARKS.human-gut	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288180	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	9	human gut metagenome	LS454	2013-06-04	SRR870375	SRS430839	SRP023463	035B_FE												
AMPLICON		407	PRJNA203810	SAMN02183078	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288181	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	9	human gut metagenome	LS454	2013-06-04	SRR870376	SRS430840	SRP023463	036B_FE												
AMPLICON		406	PRJNA203810	SAMN02183079	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288182	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	4	11	human gut metagenome	LS454	2013-06-04	SRR870377	SRS430841	SRP023463	037B_FE												
AMPLICON		405	PRJNA203810	SAMN02183080	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288183	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	14	human gut metagenome	LS454	2013-06-04	SRR870378	SRS430842	SRP023463	038B_FE												
AMPLICON		408	PRJNA203810	SAMN02183081	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288184	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	14	human gut metagenome	LS454	2013-06-04	SRR870379	SRS430843	SRP023463	040B_FE												
AMPLICON		407	PRJNA203810	SAMN02183082	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288185	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	9	human gut metagenome	LS454	2013-06-04	SRR870380	SRS430844	SRP023463	041B_FE												
AMPLICON		404	PRJNA203810	SAMN02183086	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288189	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	8	human gut metagenome	LS454	2013-06-04	SRR870384	SRS430848	SRP023463	047B_FE												
AMPLICON		406	PRJNA203810	SAMN02183087	MIGS/MIMS/MIMARKS.human-gut	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288190	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	14	human gut metagenome	LS454	2013-06-04	SRR870385	SRS430849	SRP023463	049B_FE												
AMPLICON		404	PRJNA203810	SAMN02183088	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288191	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	8	human gut metagenome	LS454	2013-06-04	SRR870386	SRS430850	SRP023463	051B_FE												
AMPLICON		407	PRJNA203810	SAMN02183090	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288193	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	13	human gut metagenome	LS454	2013-06-04	SRR870388	SRS430852	SRP023463	053B_FE												
AMPLICON		405	PRJNA203810	SAMN02183092	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288195	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	7	18	human gut metagenome	LS454	2013-06-04	SRR870390	SRS430854	SRP023463	056B_FE												
AMPLICON		403	PRJNA203810	SAMN02183095	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288198	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	13	human gut metagenome	LS454	2013-06-04	SRR870393	SRS430857	SRP023463	061B_FE												
AMPLICON		407	PRJNA203810	SAMN02183100	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288203	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	7	18	human gut metagenome	LS454	2013-06-04	SRR870398	SRS430862	SRP023463	067B_FE												
AMPLICON		405	PRJNA203810	SAMN02183101	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288204	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	12	human gut metagenome	LS454	2013-06-04	SRR870399	SRS430863	SRP023463	068B_FE												
AMPLICON		402	PRJNA203810	SAMN02183104	MIGS/MIMS/MIMARKS.human-gut	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288207	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	11	26	human gut metagenome	LS454	2013-06-04	SRR870402	SRS430866	SRP023463	071B_FE												
AMPLICON		404	PRJNA203810	SAMN02183105	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288208	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	7	16	human gut metagenome	LS454	2013-06-04	SRR870403	SRS430867	SRP023463	072B_FE												
AMPLICON		402	PRJNA203810	SAMN02183106	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288209	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	8	19	human gut metagenome	LS454	2013-06-04	SRR870404	SRS430868	SRP023463	073B_FE												
AMPLICON		403	PRJNA203810	SAMN02183107	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288210	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	10	25	human gut metagenome	LS454	2013-06-04	SRR870405	SRS430869	SRP023463	075B_FE												
AMPLICON		403	PRJNA203810	SAMN02183108	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288211	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	9	22	human gut metagenome	LS454	2013-06-04	SRR870406	SRS430870	SRP023463	076B_FE												
AMPLICON		406	PRJNA203810	SAMN02183110	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288213	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	13	30	human gut metagenome	LS454	2013-06-04	SRR870408	SRS430872	SRP023463	078B_FE												
AMPLICON		401	PRJNA203810	SAMN02183111	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288214	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	6	14	human gut metagenome	LS454	2013-06-04	SRR870409	SRS430873	SRP023463	079B_FE												
AMPLICON		402	PRJNA203810	SAMN02183112	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288215	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	7	17	human gut metagenome	LS454	2013-06-04	SRR870410	SRS430874	SRP023463	080B_FE												
AMPLICON		402	PRJNA203810	SAMN02183113	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288216	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	23	56	human gut metagenome	LS454	2013-06-04	SRR870411	SRS430875	SRP023463	082B_FE												
AMPLICON		405	PRJNA203810	SAMN02183114	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288217	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	11	25	human gut metagenome	LS454	2013-06-04	SRR870412	SRS430876	SRP023463	084B_FE												
AMPLICON		403	PRJNA203810	SAMN02183118	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288221	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	10	23	human gut metagenome	LS454	2013-06-04	SRR870416	SRS430880	SRP023463	088B_FE												
AMPLICON		403	PRJNA203810	SAMN02183119	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288222	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	11	26	human gut metagenome	LS454	2013-06-04	SRR870417	SRS430881	SRP023463	089B_FE												
AMPLICON		406	PRJNA203810	SAMN02183120	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288223	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	4	11	human gut metagenome	LS454	2013-06-04	SRR870418	SRS430882	SRP023463	090B_FE												
AMPLICON		405	PRJNA203810	SAMN02183121	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288224	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	7	17	human gut metagenome	LS454	2013-06-04	SRR870419	SRS430883	SRP023463	091B_FE												
AMPLICON		407	PRJNA203810	SAMN02183122	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288225	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	12	human gut metagenome	LS454	2013-06-04	SRR870420	SRS430884	SRP023463	092B_FE												
AMPLICON		410	PRJNA203810	SAMN02183124	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288227	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	8	human gut metagenome	LS454	2013-06-04	SRR870422	SRS430886	SRP023463	094B_FE												
AMPLICON		405	PRJNA203810	SAMN02183125	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288228	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	2	5	human gut metagenome	LS454	2013-06-04	SRR870423	SRS430887	SRP023463	096B_FE												
AMPLICON		407	PRJNA203810	SAMN02183126	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288229	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	12	human gut metagenome	LS454	2013-06-04	SRR870424	SRS430888	SRP023463	097B_FE												
AMPLICON		407	PRJNA203810	SAMN02183130	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288233	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	4	10	human gut metagenome	LS454	2013-06-04	SRR870428	SRS430892	SRP023463	102B_FE												
AMPLICON		407	PRJNA203810	SAMN02183131	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288234	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	14	human gut metagenome	LS454	2013-06-04	SRR870429	SRS430893	SRP023463	103B_FE												
AMPLICON		406	PRJNA203810	SAMN02183132	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288235	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	13	human gut metagenome	LS454	2013-06-04	SRR870430	SRS430894	SRP023463	104B_FE												
AMPLICON		409	PRJNA203810	SAMN02183133	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288236	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	13	human gut metagenome	LS454	2013-06-04	SRR870431	SRS430895	SRP023463	105B_FE												
AMPLICON		406	PRJNA203810	SAMN02183134	MIGS/MIMS/MIMARKS.human-gut	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288237	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	8	human gut metagenome	LS454	2013-06-04	SRR870432	SRS430896	SRP023463	107B_FE												
AMPLICON		404	PRJNA203810	SAMN02183135	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288238	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	7	human gut metagenome	LS454	2013-06-04	SRR870433	SRS430897	SRP023463	108B_FE												
