Assay_Type	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	LibrarySelection	MBases	MBytes	Run	SRA_Sample	Sample_Name	strain	AvgSpotLen	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	cell_type	gender	source_name	tissue
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	367	222	SRR4289814	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	366	226	SRR4289816	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	372	223	SRR4289818	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	367	226	SRR4289821	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	370	225	SRR4289823	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805005	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185369	size fractionation	369	227	SRR4289825	SRS1709048	GSM2325693	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805005	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185369	size fractionation	374	223	SRR4289827	SRS1709048	GSM2325693	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805005	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185369	size fractionation	368	226	SRR4289829	SRS1709048	GSM2325693	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805005	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185369	size fractionation	310	189	SRR4289832	SRS1709048	GSM2325693	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805007	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185370	cDNA	295	181	SRR4289834	SRS1709049	GSM2325694	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
