AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	disease_status	patient	stimulation	Assay_Type	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	source_name
51	SAMN10723950	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237804	1905	659	SRR8429993	SRS4240717	GSM3559668	normal	control_1	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723950	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237804	649	319	SRR8429994	SRS4240717	GSM3559668	normal	control_1	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723950	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237804	646	320	SRR8429995	SRS4240717	GSM3559668	normal	control_1	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723950	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237804	642	320	SRR8429996	SRS4240717	GSM3559668	normal	control_1	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723950	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237804	643	318	SRR8429997	SRS4240717	GSM3559668	normal	control_1	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
51	SAMN10723949	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237805	2338	813	SRR8429998	SRS4240718	GSM3559669	normal	control_1	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723949	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237805	851	419	SRR8429999	SRS4240718	GSM3559669	normal	control_1	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723949	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237805	851	421	SRR8430000	SRS4240718	GSM3559669	normal	control_1	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723949	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237805	846	421	SRR8430001	SRS4240718	GSM3559669	normal	control_1	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723949	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237805	848	418	SRR8430002	SRS4240718	GSM3559669	normal	control_1	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
