AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	Instrument	MBases	MBytes	Platform	Run	SRA_Sample	Sample_Name	age	source_name	tissue	Assay_Type	BioProject	Center_Name	Consent	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	ReleaseDate	SRA_Study	strain
100	SAMN15675035	fastq sra	gs s3	gs.US s3.us-east-1	SRX8846622	Illumina HiSeq 2000	3645	1730	ILLUMINA	SRR12347087	SRS7109998	GSM4703698	5 weeks old	Kidney	Kidney	RNA-Seq	PRJNA649586	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2020-07-29	Mus musculus	2020-07-30	SRP274175	(NZBxNZW)F1
100	SAMN15675034	fastq sra	gs s3	gs.US s3.us-east-1	SRX8846623	Illumina HiSeq 2000	3804	1802	ILLUMINA	SRR12347088	SRS7109999	GSM4703699	5 weeks old	Kidney	Kidney	RNA-Seq	PRJNA649586	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2020-07-29	Mus musculus	2020-07-30	SRP274175	(NZBxNZW)F1
100	SAMN15675075	fastq sra	gs s3	gs.US s3.us-east-1	SRX8846624	Illumina HiSeq 2000	4078	1934	ILLUMINA	SRR12347089	SRS7110000	GSM4703700	5 weeks old	Kidney	Kidney	RNA-Seq	PRJNA649586	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2020-07-29	Mus musculus	2020-07-30	SRP274175	(NZBxNZW)F1
100	SAMN15675074	fastq sra	gs s3	gs.US s3.us-east-1	SRX8846625	Illumina HiSeq 2000	4116	1953	ILLUMINA	SRR12347090	SRS7110001	GSM4703701	5 weeks old	Kidney	Kidney	RNA-Seq	PRJNA649586	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2020-07-29	Mus musculus	2020-07-30	SRP274175	(NZBxNZW)F1
100	SAMN15675073	fastq sra	gs s3	gs.US s3.us-east-1	SRX8846626	Illumina HiSeq 2000	3582	1703	ILLUMINA	SRR12347091	SRS7110002	GSM4703702	5 weeks old	Kidney	Kidney	RNA-Seq	PRJNA649586	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2020-07-29	Mus musculus	2020-07-30	SRP274175	(NZBxNZW)F1
100	SAMN15675072	fastq sra	gs s3	gs.US s3.us-east-1	SRX8846627	Illumina HiSeq 2000	3969	1917	ILLUMINA	SRR12347092	SRS7110003	GSM4703703	29 weeks old	Kidney	Kidney	RNA-Seq	PRJNA649586	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2020-07-29	Mus musculus	2020-07-30	SRP274175	(NZBxNZW)F1
100	SAMN15675069	fastq sra	gs s3	gs.US s3.us-east-1	SRX8846629	Illumina HiSeq 2000	4699	2277	ILLUMINA	SRR12347094	SRS7110004	GSM4703705	28 weeks old	Kidney	Kidney	RNA-Seq	PRJNA649586	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2020-07-29	Mus musculus	2020-07-30	SRP274175	(NZBxNZW)F1
100	SAMN15675070	fastq sra	gs s3	gs.US s3.us-east-1	SRX8846628	Illumina HiSeq 2000	4262	2056	ILLUMINA	SRR12347093	SRS7110005	GSM4703704	28 weeks old	Kidney	Kidney	RNA-Seq	PRJNA649586	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2020-07-29	Mus musculus	2020-07-30	SRP274175	(NZBxNZW)F1
100	SAMN15675068	fastq sra	gs s3	gs.US s3.us-east-1	SRX8846630	Illumina HiSeq 2000	5014	2412	ILLUMINA	SRR12347095	SRS7110006	GSM4703706	29 weeks old	Kidney	Kidney	RNA-Seq	PRJNA649586	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2020-07-29	Mus musculus	2020-07-30	SRP274175	(NZBxNZW)F1
100	SAMN15675287	fastq sra	gs s3	gs.US s3.us-east-1	SRX8846631	Illumina HiSeq 2000	3911	1879	ILLUMINA	SRR12347096	SRS7110007	GSM4703707	26 weeks old	Kidney	Kidney	RNA-Seq	PRJNA649586	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2020-07-29	Mus musculus	2020-07-30	SRP274175	(NZBxNZW)F1
