Assay_Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	aliquot	category	collection_date	geo_loc_name	host	isolation_source	lat_lon	timepoint	tissue	type_sequence	Consent	Platform	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id
AMPLICON	502	PRJNA342486	SAMN05757763	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155470	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C2	2016-09-09	55	36	human gut metagenome	2016-10-01	SRR4218848	SRS1685550	SRP087829	C2			Sep-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757764	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155471	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C3	2016-09-09	91	61	human gut metagenome	2016-10-01	SRR4218849	SRS1685551	SRP087829	C3			Oct-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757773	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155472	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA3	2016-09-09	131	91	human gut metagenome	2016-10-01	SRR4218850	SRS1685552	SRP087829	ERA3			Oct-2012	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757774	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155473	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA4	2016-09-09	71	51	human gut metagenome	2016-10-01	SRR4218851	SRS1685553	SRP087829	ERA4			Nov-2012	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757775	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155474	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA5	2016-09-09	68	49	human gut metagenome	2016-10-01	SRR4218852	SRS1685554	SRP087829	ERA5			Jan-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757776	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155475	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA6	2016-09-09	83	59	human gut metagenome	2016-10-01	SRR4218853	SRS1685555	SRP087829	ERA6			Jan-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757777	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155476	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA7	2016-09-09	61	44	human gut metagenome	2016-10-01	SRR4218854	SRS1685556	SRP087829	ERA7			Feb-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757778	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155477	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA8	2016-09-09	28	19	human gut metagenome	2016-10-01	SRR4218855	SRS1685557	SRP087829	ERA8			Apr-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757779	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155478	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA9	2016-09-09	70	51	human gut metagenome	2016-10-01	SRR4218856	SRS1685558	SRP087829	ERA9			Nov-2014	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757780	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155479	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA10	2016-09-09	94	67	human gut metagenome	2016-10-01	SRR4218857	SRS1685559	SRP087829	ERA10			Mar-2014	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
