Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	biomaterial_provider	cell_type	disease_state	isolate	sex	source_name	tissue	Consent	Platform
WXS		202	PRJNA316441	SAMN04580102	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra unknown_contigs	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1665997	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580102	2016-03-28	7133	4526	Homo sapiens	2016-04-02	SRR3305041	SRS1361697	SRP072350	1	44	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			1, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580114	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666001	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580114	2016-12-12	9785	6971	Homo sapiens	2016-12-13	SRR3305045	SRS1364728	SRP072350	13	50	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			13, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580113	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666000	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580113	2016-03-28	9915	6965	Homo sapiens	2016-04-02	SRR3305044	SRS1364729	SRP072350	12	61	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			12, diffuse cutaneous systemic sclerosis, intersitial lung disease	male		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580112	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1665999	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580112	2016-03-28	11806	8316	Homo sapiens	2016-04-02	SRR3305043	SRS1364730	SRP072350	11	74	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			11, diffuse cutaneous systemic sclerosis, intersitial lung disease	male		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580103	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1665998	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580103	2016-03-28	7974	5072	Homo sapiens	2016-04-02	SRR3305042	SRS1364731	SRP072350	2	46	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			2, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580124	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666012	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580124	2016-03-28	8810	5522	Homo sapiens	2016-04-02	SRR3305056	SRS1364749	SRP072350	23	50	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			23, diffuse cutaneous systemic sclerosis	male		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580123	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666011	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580123	2016-12-12	8493	5338	Homo sapiens	2016-12-13	SRR3305055	SRS1364750	SRP072350	22	47	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			22, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580122	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666010	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580122	2016-03-28	8195	5149	Homo sapiens	2016-04-02	SRR3305054	SRS1364751	SRP072350	21	67	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			21, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580104	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra unknown_contigs	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666009	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580104	2016-03-28	6429	4090	Homo sapiens	2016-04-02	SRR3305053	SRS1364752	SRP072350	3	70	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			3, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580121	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666008	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580121	2016-03-28	10383	6596	Homo sapiens	2016-04-02	SRR3305052	SRS1364753	SRP072350	20	48	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			20, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
