disease	samples	organism
GPA	0	mus musculus
GPA	259	homo sapiens
GPA	0	sus scrofa
GPA	0	rattus norvegicus
GPA	0	not defined
GPA	72	uncultured bacterium
SLE	42	mus musculus
SLE	1747	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SysSclerosis	64	mus musculus
SysSclerosis	689	homo sapiens
SysSclerosis	0	sus scrofa
SysSclerosis	0	rattus norvegicus
SysSclerosis	0	not defined
Synovitis	0	mus musculus
Synovitis	22	homo sapiens
Synovitis	12	sus scrofa
Synovitis	0	rattus norvegicus
Synovitis	0	not defined
JIA	0	mus musculus
JIA	605	homo sapiens
JIA	0	sus scrofa
JIA	0	rattus norvegicus
JIA	168	not defined
OA	317	mus musculus
OA	886	homo sapiens
OA	138	sus scrofa
OA	16	rattus norvegicus
OA	18	not defined
OA	2	staphylococcus aureus
OA	1	pseudomonas aeruginosa
OA	1	mycoplasma hominis
OA	1	klebsiella pneumoniae
OA	6	equus caballus
Sjoegren	35	mus musculus
Sjoegren	291	homo sapiens
Sjoegren	0	sus scrofa
Sjoegren	0	rattus norvegicus
Sjoegren	0	not defined
Uveitis	88	mus musculus
Uveitis	0	homo sapiens
Uveitis	0	sus scrofa
Uveitis	0	rattus norvegicus
Uveitis	0	not defined
Uveitis	1	staphylococcus pseudintermedius
MyoPolyDerma	0	mus musculus
MyoPolyDerma	132	homo sapiens
MyoPolyDerma	0	sus scrofa
MyoPolyDerma	0	rattus norvegicus
MyoPolyDerma	0	not defined
MyoPolyDerma	10	canis lupus familiaris
MyoPolyDerma	1	flavobacterium psychrophilum
MyoPolyDerma	8	equus caballus
MyoPolyDerma	76	streptococcus pyogenes
MyoPolyDerma	18	macaca fascicularis
RA	292	mus musculus
RA	8115	homo sapiens
RA	0	sus scrofa
RA	35	rattus norvegicus
RA	41	not defined
SpA	24	mus musculus
SpA	617	homo sapiens
SpA	0	sus scrofa
SpA	0	rattus norvegicus
SpA	0	not defined
Vasculitis	0	mus musculus
Vasculitis	120	homo sapiens
Vasculitis	0	sus scrofa
Vasculitis	0	rattus norvegicus
Vasculitis	0	not defined
Vasculitis	1	staphylococcus aureus
AutoSyn	0	mus musculus
AutoSyn	8	homo sapiens
AutoSyn	0	sus scrofa
AutoSyn	0	rattus norvegicus
AutoSyn	0	not defined
PsA	0	mus musculus
PsA	48	homo sapiens
PsA	0	sus scrofa
PsA	0	rattus norvegicus
PsA	0	not defined
SLE	0	mus musculus
SLE	12	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	0	mus musculus
SLE	1568	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	0	mus musculus
SLE	12	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	6	mus musculus
SLE	0	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	0	mus musculus
SLE	2	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	0	mus musculus
SLE	0	homo sapiens
SLE	5	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	30	mus musculus
SLE	0	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	29	mus musculus
SLE	0	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	0	mus musculus
SLE	17	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	0	mus musculus
SLE	65	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	0	mus musculus
SLE	164	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	40	mus musculus
SLE	0	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	1	mus musculus
SLE	8	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	5	mus musculus
SLE	0	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	0	mus musculus
SLE	24	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	2	mus musculus
SLE	0	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
SLE	3	mus musculus
SLE	3	homo sapiens
SLE	0	sus scrofa
SLE	0	rattus norvegicus
SLE	0	not defined
