disease	srp	number
GPA	srp245382	7
GPA	srp149341	252
GPA	srp163178	72
SLE	srp028162	40
SLE	srp028945	2
SLE	srp057017	20
SLE	srp061633	60
SLE	srp062966	99
SLE	srp073191	16
SLE	srp095109	12
SLE	srp095209	1
SLE	srp119065	4
SLE	srp119242	12
SLE	srp131775	29
SLE	srp131995	6
SLE	srp132939	53
SLE	srp133278	48
SLE	srp136102	120
SLE	erp106593	88
SLE	srp151215	112
SLE	erp009947	10
SLE	srp156582	15
SLE	srp156583	120
SLE	srp156584	339
SLE	srp156606	12
SLE	srp166055	12
SLE	srp166968	3
SLE	srp168421	20
SLE	srp189104	18
SLE	srp192580	284
SLE	srp199000	36
SLE	erp110106	12
SLE	srp217372	1
SLE	srp220690	66
SLE	srp221351	15
SLE	srp226877	51
SLE	srp226878	24
SLE	srp237539	3
SLE	srp260470	2
SLE	srp274549	8
SLE	srp276219	12
SLE	erp110386	4
SysSclerosis	srp072350	32
SysSclerosis	srp106516	23
SysSclerosis	srp109118	48
SysSclerosis	srp109674	44
SysSclerosis	srp115292	122
SysSclerosis	srp115901	18
SysSclerosis	srp118741	72
SysSclerosis	srp158593	10
SysSclerosis	srp168177	18
SysSclerosis	srp168244	30
SysSclerosis	srp173837	51
SysSclerosis	srp173842	73
SysSclerosis	srp193855	24
SysSclerosis	srp197303	91
SysSclerosis	erp110106	12
SysSclerosis	srp220377	11
SysSclerosis	srp238910	6
SysSclerosis	srp247467	6
SysSclerosis	srp265289	14
SysSclerosis	srp267217	48
Synovitis	erp013913	12
Synovitis	erp017899	2
Synovitis	srp119788	20
JIA	srp056159	3
JIA	srp056160	9
JIA	srp061881	56
JIA	srp072920	101
JIA	srp074736	47
JIA	srp076627	21
JIA	erp013262	75
JIA	srp094977	8
JIA	srp095115	15
JIA	srp095534	22
JIA	srp116312	12
JIA	srp116937	32
JIA	srp136057	202
JIA	srp168642	24
JIA	srp212148	16
JIA	srp254224	37
JIA	srp277051	93
OA	srp051399	4
OA	erp009122	36
OA	srp067356	19
OA	erp013913	18
OA	erp013914	22
OA	srp092408	22
OA	srp096109	2
OA	srp099181	3
OA	srp105344	16
OA	srp107029	95
OA	srp108597	20
OA	srp109837	2
OA	srp110029	4
OA	srp115858	1
OA	srp119687	34
OA	erp024317	42
OA	srp125119	4
OA	srp125915	25
OA	erp016680	41
OA	erp105501	75
OA	srp127173	16
OA	srp132362	39
OA	srp132866	4
OA	srp133881	10
OA	srp137040	75
OA	srp137042	18
OA	srp139932	4
OA	srp140508	5
OA	erp107920	42
OA	srp144491	38
OA	srp149757	6
OA	srp149950	6
OA	srp151370	4
OA	srp153384	22
OA	srp156000	12
OA	srp157964	10
OA	srp162262	106
OA	srp162625	1
OA	srp164765	12
OA	srp164766	9
OA	srp167288	6
OA	srp168693	131
OA	srp170581	34
OA	srp172871	48
OA	srp173758	4
OA	srp174516	18
OA	srp180201	9
OA	erp111913	70
OA	srp186130	5
OA	srp188077	6
OA	srp188995	18
OA	srp193489	15
OA	srp199302	1
OA	srp199711	6
OA	erp116943	9
OA	srp241225	23
OA	srp241701	16
OA	srp241807	13
OA	srp242060	7
OA	srp266247	8
OA	srp267949	9
OA	erp117702	6
Sjoegren	srp047191	3
Sjoegren	srp073308	12
Sjoegren	erp014011	18
Sjoegren	srp095209	1
Sjoegren	srp098755	29
Sjoegren	srp158992	50
Sjoegren	erp110106	12
Sjoegren	srp217929	44
Sjoegren	srp217937	62
Sjoegren	srp219900	6
Sjoegren	srp248024	10
Sjoegren	srp249908	29
Sjoegren	srp273133	50
Uveitis	srp223865	72
Uveitis	srp239529	1
Uveitis	srp244473	16
MyoPolyDerma	srp045119	1
MyoPolyDerma	srp081080	10
MyoPolyDerma	srp096959	1
MyoPolyDerma	srp114567	12
MyoPolyDerma	srp119975	8
MyoPolyDerma	srp163403	40
MyoPolyDerma	erp022260	22
MyoPolyDerma	srp183096	38
MyoPolyDerma	erp110106	12
MyoPolyDerma	srp212148	8
MyoPolyDerma	srp240643	39
MyoPolyDerma	srp244103	54
RA	srp007941	4
RA	srp009315	4
RA	srp023463	70
RA	srp034624	12
RA	srp034535	11
RA	srp042288	10
RA	srp043193	19
RA	srp043707	6
RA	erp006678	530
RA	erp008469	4
RA	srp073033	68
RA	srp077668	4
RA	srp078979	2
RA	srp092408	152
